indicator;ISO Country code;population;surface area (Km2);;GINI index;happy planet index;human development index;world happiness report score;sustainable economic development assessment (SEDA);;GDP 
(billions PPP);GDP per capita (PPP);GDP growth
(annual %);health expenditure 
% of GDP;health expenditure 
per person;education expenditure
% of GDP;education expenditure 
per person ;school life expectancy (YEARS);unemployment (%);government spending score;government expenditure (% of GDP);;political rights score ;civil liberties score ;political stability & absence of violence;government effectiveness;regulatory quality;rule of law;control of corruption;judicial effectiveness score;government integrity score;property rights score;tax burden score;overall economic freedom score;financial freedom score;women MPs (% of all MPs)
source;FAO;World Bank Data;CIA World Factbook;;CIA World Factbook;Happy Planet Index;UNDP;World Happiness Report;Boston Consulting Group (BCG);;Heritage Foundation;Heritage Foundation;Heritage Foundation;World Bank;World Bank;World Bank;our calcs;CIA World Factbook;Heritage Foundation;Heritage Foundation;Heritage Foundation;;Freedom House;Freedom House;World Bank;World Bank;World Bank;World Bank;World Bank;Heritage Foundation;Heritage Foundation;Heritage Foundation;Heritage Foundation;Heritage Foundation;Heritage Foundation;World Bank
Israel;ISR;9000000.00;20330.00;;42.80;28.80;0.90;7.33;66.50;;300.60;35179.00;2.60;7.43;2819.00;5.74;2154.45;16.00;5.60;51.80;40.10;;1.00;3.00;-0.88;1.39;1.27;1.02;0.83;83.10;61.20;78.20;60.90;72.20;70.00;27.50
Italy;ITA;61000000.00;294140.00;;31.90;28.10;0.88;6.20;69.10;;2234.50;36833.00;0.80;9.00;3351.00;4.08;1442.50;16.00;11.50;24.10;50.30;;1.00;1.00;0.24;0.50;0.70;0.32;0.19;60.90;40.10;71.20;55.20;62.50;50.00;31.00
Jamaica;JAM;2800000.00;10831.00;;35.00;36.90;0.73;5.89;49.70;;25.40;8976.00;1.10;5.93;511.00;6.02;292.35;-;13.30;77.20;27.60;;2.00;3.00;0.25;0.49;0.14;-0.16;-0.17;56.60;39.40;60.90;80.00;69.10;50.00;17.50
Japan;JPN;127000000.00;364485.00;;37.90;28.30;0.91;5.91;75.20;;5237.80;41275.00;0.50;10.90;4405.00;3.59;1368.35;15.00;3.10;54.10;39.10;;1.00;1.00;1.12;1.62;1.37;1.57;1.52;73.20;79.20;86.00;67.40;72.30;60.00;9.30
Jordan;JOR;10000000.00;88802.00;;39.70;-;0.74;4.81;48.70;;85.60;12278.00;2.50;6.28;568.00;-;-;13.00;13.20;69.40;32.00;;5.00;5.00;-0.53;0.12;0.10;0.26;1.17;57.30;51.90;57.60;92.40;64.90;60.00;15.40
Kazakhstan;KAZ;18000000.00;2699700.00;;26.30;19.10;0.80;5.88;57.70;;451.30;25145.00;1.20;3.88;903.00;-;-;15.00;5.20;85.30;22.20;;7.00;5.00;0.02;0.01;0.17;-0.41;0.26;58.10;44.60;56.00;92.60;69.10;50.00;27.10
Kenya;KEN;50000000.00;569140.00;;48.50;24.20;0.59;4.48;35.40;;152.80;3361.00;5.60;5.22;157.00;5.28;70.50;11.00;11.00;77.50;27.40;;4.00;4.00;-1.08;-0.31;-0.23;-0.41;-0.82;44.00;27.50;47.90;78.50;54.70;50.00;21.80
Kiribati;KIR;100000.00;811.00;;-;-;0.61;-;-;;0.20;1823.00;4.20;7.61;152.00;-;-;12.00;-;0.00;117.60;;1.00;1.00;0.90;-0.25;-0.83;0.53;-0.96;35.30;37.90;45.00;72.40;50.80;30.00;6.50
Korea (Dem. People’s Rep.);PRK;25000000.00;120408.00;;-;-;-;-;-;;15.10;-;1.00;-;-;-;-;11.00;4.30;0.00;-;;7.00;7.00;-0.48;-1.69;-2.34;-1.71;0.39;5.00;25.20;29.80;0.00;5.80;0.00;16.30
Korea (Rep.);KOR;51000000.00;96920.00;;35.70;24.80;0.90;5.87;-;;1934.00;37740.00;2.60;7.39;-;5.06;1406.34;17.00;3.70;68.80;32.30;;2.00;2.00;0.29;1.08;1.11;1.16;-1.48;63.70;49.90;79.40;73.30;73.80;70.00;17.00
Kosovo;-;1900000.00;10887.00;;23.20;-;-;6.15;-;;18.40;9600.00;3.30;-;-;-;-;-;-;77.90;27.10;;3.00;4.00;-0.21;-0.41;-0.13;-0.42;0.48;59.00;45.40;52.30;93.20;66.60;30.00;-
Kuwait;KWT;4200000.00;17818.00;;-;-;0.80;6.09;65.70;;303.70;71887.00;0.90;4.03;2978.00;-;-;13.00;2.40;20.50;51.50;;5.00;5.00;-0.04;-0.17;-0.06;0.10;-0.50;53.50;36.60;52.00;97.70;62.20;60.00;3.10
Kyrgyzstan;KGZ;6000000.00;191801.00;;33.40;33.10;0.67;5.63;45.40;;21.50;3521.00;3.50;8.22;287.00;5.53;70.79;13.00;7.70;58.20;37.30;;5.00;5.00;-0.43;-0.71;-0.35;-0.93;-0.33;22.10;29.40;50.20;93.80;62.80;50.00;19.20
Laos;LAO;7000000.00;230800.00;;36.70;-;0.60;4.62;37.80;;40.90;5710.00;7.00;2.81;-;2.94;59.27;11.00;1.50;79.30;26.30;;7.00;6.00;0.43;-0.36;-0.72;-0.88;-1.05;41.40;33.10;34.10;86.70;53.60;20.00;27.50
Latvia;LVA;2000000.00;62249.00;;34.50;17.10;0.85;6.09;66.10;;50.60;25710.00;2.70;5.76;1429.00;5.27;828.06;16.00;9.90;59.00;37.00;;2.00;2.00;0.46;0.90;1.15;0.93;-0.94;58.90;45.40;68.30;84.00;73.60;60.00;16.00
Lebanon;LBN;4600000.00;10230.00;;-;21.90;0.76;5.15;44.80;;85.20;18525.00;1.00;7.43;1117.00;-;-;11.00;6.80;78.20;26.90;;6.00;4.00;-1.59;-0.51;-0.31;-0.82;0.54;33.60;20.20;39.70;91.90;53.20;50.00;3.10
Lesotho;LSO;1900000.00;30355.00;;63.20;16.70;0.52;-;29.50;;7.00;3601.00;2.50;8.36;251.00;-;-;11.00;27.40;23.80;50.40;;3.00;3.00;-0.25;-0.85;-0.32;-0.27;-1.00;52.70;32.90;49.40;48.20;53.90;40.00;22.90
Liberia;LBR;4400000.00;96320.00;;32.00;22.20;0.44;4.42;30.60;;3.80;855.00;0.00;15.19;128.00;-;-;-;4.00;59.40;36.80;;3.00;3.00;-0.41;-1.37;-0.95;-0.97;-0.03;42.40;32.00;28.20;77.50;50.90;20.00;12.30
Libya;LBY;6000000.00;1759540.00;;-;-;0.71;5.65;-;;55.40;8679.00;-6.40;-;-;-;-;-;19.20;0.00;92.90;;7.00;6.00;-2.33;-1.77;-2.21;-1.78;-0.69;22.10;23.10;5.20;90.50;-;-;16.00
Liechtenstein;LIE;38000.00;160.00;;-;-;0.92;-;-;;6.10;160526.00;1.20;-;-;-;-;15.00;2.40;-;-;;2.00;1.00;1.50;1.76;1.49;1.67;-1.59;-;-;-;-;-;80.00;12.00
Lithuania;LTU;2900000.00;62680.00;;37.90;21.00;0.86;6.27;67.40;;86.10;29972.00;1.60;6.51;1875.00;4.49;742.13;17.00;9.20;63.90;34.70;;1.00;1.00;0.78;0.98;1.16;0.99;2.06;66.70;50.90;73.80;86.40;75.30;70.00;21.30
Luxembourg;LUX;600000.00;2586.00;;30.40;13.20;0.90;7.06;83.20;;59.90;104003.00;4.50;6.05;6382.00;3.99;4762.33;14.00;5.90;48.50;41.40;;1.00;1.00;1.34;1.68;1.69;1.74;0.55;77.90;79.00;82.70;65.10;76.40;80.00;28.30
Macedonia;MKD;2100000.00;25433.00;;33.70;23.40;-;5.23;52.50;;30.30;14597.00;3.70;6.09;857.00;-;-;13.00;26.70;70.30;31.50;;4.00;3.00;-0.25;0.14;0.50;-0.24;1.99;57.00;47.40;64.80;91.60;71.30;60.00;34.20
Madagascar;MDG;26000000.00;581540.00;;41.00;-;0.52;4.08;31.10;;37.50;1505.00;3.00;5.24;77.00;-;-;11.00;2.10;92.90;15.40;;3.00;4.00;-0.33;-1.14;-0.69;-0.86;-1.05;21.40;17.80;33.20;90.30;56.80;50.00;19.20
Malawi;MWI;19000000.00;94080.00;;46.10;22.10;0.48;3.42;32.50;;21.10;1135.00;3.00;9.33;108.00;4.84;17.17;11.00;6.70;70.70;31.30;;3.00;3.00;-0.27;-0.67;-0.75;-0.37;-0.65;47.10;28.90;33.10;76.90;52.00;50.00;16.70
Malaysia;MYS;32000000.00;328657.00;;46.20;30.30;0.80;-;59.80;;863.30;27267.00;5.00;4.00;1064.00;5.21;582.97;13.00;3.30;81.30;24.90;;4.00;4.00;0.16;0.84;0.68;0.41;0.03;65.20;54.80;83.80;85.60;74.50;50.00;10.40
Maldives;MDV;400000.00;298.00;;38.40;-;0.72;-;-;;5.50;15553.00;1.90;11.50;1514.00;3.47;314.31;-;3.20;45.50;42.60;;5.00;5.00;0.26;-0.45;-0.42;-0.62;-0.79;38.80;36.60;45.00;94.30;51.10;30.00;5.90
Mali;MLI;19000000.00;1220190.00;;40.10;-;0.43;4.74;29.70;;38.10;2266.00;6.10;5.80;118.00;3.64;30.85;8.00;8.10;85.30;22.20;;5.00;4.00;-1.91;-0.94;-0.57;-0.78;-0.63;32.40;31.40;31.90;68.10;57.60;40.00;8.80
Malta;MLT;400000.00;316.00;;28.10;29.00;0.88;6.68;68.80;;17.30;39834.00;6.30;9.62;3471.00;7.25;1874.15;15.00;5.30;51.00;40.40;;1.00;1.00;1.27;1.00;1.28;1.14;0.74;62.80;49.90;68.10;64.70;68.50;60.00;11.90
Marshall Islands;MHL;53000.00;181.00;;-;-;0.71;-;-;;-;-;-;22.12;863.00;-;-;-;-;-;-;;1.00;1.00;0.20;-1.55;-1.03;0.14;0.00;-;-;-;-;-;-;9.10
Mauritania;MRT;3800000.00;1030700.00;;37.00;18.00;0.52;4.68;28.90;;16.40;4328.00;1.90;4.64;177.00;-;-;9.00;11.70;72.80;30.10;;6.00;5.00;-0.62;-0.72;-0.78;-0.60;-0.75;17.60;28.90;23.90;75.90;54.00;40.00;25.20
Mauritius;MUS;1300000.00;2030.00;;35.90;27.40;0.79;6.17;60.20;;25.90;20422.00;3.40;5.54;1099.00;4.92;499.26;15.00;7.80;80.70;25.40;;1.00;2.00;0.99;0.90;1.00;0.68;0.20;69.60;52.10;68.70;91.00;75.10;70.00;11.60
Mexico;MEX;129000000.00;1943945.00;;48.20;40.70;0.77;6.41;49.10;;2315.70;18938.00;2.50;5.86;1009.00;5.33;563.53;13.00;4.00;78.10;27.00;;3.00;3.00;-0.65;-0.03;0.20;-0.57;-0.93;39.00;26.90;58.60;75.70;64.80;60.00;42.60
Micronesia;FSM;100000.00;702.00;;61.10;-;0.63;-;-;;0.30;3234.00;-0.20;13.09;458.00;-;-;-;-;7.40;55.60;;1.00;1.00;1.20;0.09;-0.99;0.01;0.75;25.40;38.80;5.20;93.20;52.30;30.00;0.00
Moldova;MDA;3600000.00;32891.00;;26.80;-;0.70;5.33;48.70;;18.90;5328.00;-1.10;10.18;515.00;7.46;167.56;12.00;5.00;56.70;38.00;;3.00;3.00;-0.24;-0.51;-0.04;-0.41;-0.80;26.30;26.60;53.50;85.30;58.40;50.00;22.80
Monaco;MCO;39000.00;2.00;;-;-;-;-;-;;-;-;-;2.03;3407.00;1.02;-;-;-;-;-;;3.00;1.00;1.65;-;-;-;-;-;-;-;-;-;-;20.80
Mongolia;MNG;3000000.00;1553556.00;;34.00;14.30;0.74;5.33;50.60;;37.00;12275.00;2.30;3.87;470.00;4.71;197.16;15.00;6.70;57.10;37.80;;1.00;2.00;0.82;-0.26;-0.12;-0.30;-0.45;30.90;34.80;51.00;88.40;55.70;60.00;17.10
Montenegro;MNE;600000.00;13452.00;;31.90;25.10;0.81;5.61;-;;10.40;16643.00;4.10;5.97;957.00;-;-;15.00;17.50;35.70;46.30;;3.00;3.00;0.01;0.15;0.30;0.01;-0.09;51.30;38.10;54.20;85.20;64.30;50.00;23.50
Morocco;MAR;36000000.00;446300.00;;40.90;32.70;0.67;5.31;45.80;;281.80;8330.00;4.50;5.53;435.00;-;-;12.00;10.00;70.50;31.40;;5.00;5.00;-0.41;-0.16;-0.23;-0.17;-0.13;44.30;41.30;53.80;70.50;61.90;70.00;20.50
Mozambique;MOZ;30000000.00;786380.00;;45.60;23.70;0.44;4.28;26.70;;34.90;1215.00;6.30;5.35;64.00;-;-;10.00;24.40;60.70;36.20;;4.00;4.00;-0.98;-0.89;-0.73;-1.01;-0.86;36.30;28.20;35.40;70.60;46.30;50.00;39.60
Myanmar;MMR;53000000.00;676575.00;;-;24.70;0.58;4.15;37.00;;304.70;5832.00;7.00;4.95;267.00;-;-;-;0.80;84.70;22.60;;5.00;5.00;-1.08;-1.05;-0.83;-0.95;-0.56;17.60;28.20;32.50;86.30;53.90;20.00;10.20
Namibia;NAM;2300000.00;823290.00;;59.70;21.60;0.65;4.44;39.10;;26.00;11290.00;4.50;8.93;942.00;-;-;-;25.60;50.40;40.70;;2.00;2.00;0.65;0.20;-0.19;0.24;0.32;54.20;45.40;56.60;63.00;58.50;40.00;41.30
Nauru;NRU;14000.00;21.00;;-;-;-;-;-;;-;-;-;4.84;1064.00;-;-;9.00;-;-;-;;2.00;2.00;0.57;-0.43;-1.10;-0.73;-0.47;-;-;-;-;-;-;10.50
Nepal;NPL;29000000.00;143351.00;;32.80;30.50;0.57;4.74;41.70;;71.50;2479.00;3.40;6.15;151.00;3.99;28.20;12.00;3.20;87.60;20.30;;3.00;4.00;-0.66;-0.88;-0.72;-0.68;-0.75;36.20;24.60;37.50;84.20;54.10;30.00;29.60
Netherlands;NLD;17000000.00;33893.00;;30.30;35.30;0.93;7.46;80.30;;869.40;51049.00;1.90;10.69;5313.00;5.53;2883.94;18.00;6.20;39.10;45.00;;1.00;1.00;0.92;1.85;2.05;1.83;1.87;74.10;86.00;87.90;52.50;76.20;80.00;36.00
New Zealand;NZL;4700000.00;264537.00;;36.20;31.30;0.92;7.33;78.60;;177.00;37294.00;3.40;9.34;3530.00;6.36;2831.94;19.00;5.20;49.50;41.00;;1.00;1.00;1.59;1.77;2.09;1.92;2.24;88.40;95.70;95.10;70.50;84.20;80.00;34.20
Nicaragua;NIC;6000000.00;119990.00;;47.10;38.70;0.66;6.48;43.50;;33.60;5452.00;4.50;7.81;406.00;-;-;-;5.90;80.00;25.80;;5.00;4.00;-0.05;-0.64;-0.67;-0.64;-0.87;19.00;24.20;29.80;77.20;58.90;50.00;45.70
Niger;NER;21000000.00;1266700.00;;34.00;16.80;0.35;4.62;-;;20.10;1107.00;4.00;7.17;68.00;6.73;28.92;5.00;2.60;72.90;30.10;;4.00;4.00;-1.30;-0.67;-0.68;-0.68;-0.65;32.60;30.40;37.40;73.30;49.50;40.00;17.00
Nigeria;NGA;191000000.00;910768.00;;48.80;22.20;0.53;5.32;26.50;;1091.20;5942.00;2.70;3.56;215.00;-;-;9.00;5.00;96.30;11.00;;3.00;5.00;-1.94;-0.96;-0.89;-0.87;-1.07;39.60;14.40;38.00;84.40;58.50;40.00;5.60
Norway;NOR;5000000.00;304282.00;;26.80;36.80;0.95;7.58;85.30;;364.40;69250.00;1.60;9.98;6222.00;7.68;7465.68;18.00;4.80;29.20;48.60;;1.00;1.00;1.15;1.98;1.81;2.02;2.24;86.00;93.60;86.40;56.40;74.30;60.00;39.60
Oman;OMN;4000000.00;309500.00;;-;21.10;0.82;-;62.10;;184.80;46698.00;4.10;2.69;1636.00;-;-;14.00;17.50;25.00;50.00;;6.00;5.00;0.74;0.21;0.42;0.43;0.25;57.40;51.50;59.50;98.50;61.00;60.00;1.20
Pakistan;PAK;197000000.00;770875.00;;30.70;31.50;0.56;5.83;27.90;;988.20;5106.00;4.20;2.69;134.00;2.47;32.48;8.00;5.90;88.20;19.80;;4.00;5.00;-2.40;-0.58;-0.59;-0.72;-0.78;34.00;27.30;36.00;78.50;54.40;40.00;20.60
Palau;PLW;22000.00;459.00;;-;-;0.80;-;-;;-;-;-;10.65;1611.00;-;-;17.00;-;-;-;;1.00;1.00;0.94;-0.23;-0.60;0.28;-0.47;-;-;-;-;-;-;12.50
Panama;PAN;4000000.00;74340.00;;50.70;39.50;0.79;6.57;54.50;;92.90;23024.00;5.80;7.01;1543.00;-;-;13.00;5.80;84.10;23.10;;2.00;2.00;0.39;0.01;0.39;0.04;-0.54;29.40;38.80;60.90;85.00;67.00;70.00;18.30
Papua New Guinea;PNG;8000000.00;452860.00;;50.90;-;0.54;-;-;;28.00;3541.00;9.00;3.77;99.00;-;-;-;2.50;82.00;24.50;;3.00;3.00;-0.58;-0.66;-0.65;-0.82;-0.90;55.10;33.10;38.00;71.10;55.70;30.00;0.00
Paraguay;PRY;7000000.00;397302.00;;51.70;23.30;0.70;-;46.20;;64.40;9396.00;3.00;7.82;724.00;-;-;12.00;5.40;82.20;24.40;;3.00;3.00;0.12;-0.81;-0.23;-0.65;-0.72;28.20;28.30;38.30;96.10;62.10;60.00;13.80
Peru;PER;32000000.00;1279996.00;;45.30;34.60;0.75;5.71;49.30;;406.20;12903.00;3.30;5.26;671.00;3.69;239.64;13.00;4.90;85.60;21.90;;2.00;3.00;-0.26;-0.13;0.42;-0.50;-0.50;33.50;36.60;56.90;80.60;68.70;60.00;27.70
Philippines;PHL;105000000.00;298170.00;;44.40;35.00;0.70;5.59;44.50;;805.20;7728.00;5.80;4.41;323.00;-;-;13.00;5.90;89.30;18.90;;3.00;3.00;-1.24;-0.06;0.02;-0.41;-0.48;38.20;34.40;45.00;78.90;65.00;60.00;29.50
Poland;POL;38000000.00;304255.00;;30.80;27.50;0.87;6.20;67.70;;1054.10;27764.00;3.60;6.35;1704.00;4.91;704.56;16.00;6.20;47.80;41.70;;1.00;2.00;0.52;0.63;0.88;0.47;0.73;56.60;50.90;61.80;75.90;68.50;70.00;28.00
Portugal;PRT;10000000.00;91470.00;;33.90;24.80;0.85;5.71;70.80;;298.70;28933.00;1.50;8.97;2661.00;5.12;1131.09;17.00;11.20;29.80;48.40;;1.00;1.00;1.08;1.33;0.91;1.13;0.87;70.10;56.80;69.20;59.80;63.40;60.00;34.80
Qatar;QAT;2600000.00;11586.00;;-;-;0.86;-;70.80;;329.20;127660.00;3.30;2.69;3900.00;3.61;3131.35;13.00;0.20;60.20;36.40;;6.00;5.00;0.55;0.74;0.42;0.72;0.73;59.80;71.60;70.30;99.60;72.60;60.00;0.00
Romania;ROU;20000000.00;229891.00;;27.30;28.80;0.81;6.09;60.00;;441.60;22348.00;3.70;10.65;1090.00;3.13;313.48;15.00;6.40;66.90;33.20;;2.00;2.00;0.06;-0.17;0.49;0.39;-0.03;59.70;40.00;61.00;87.30;69.40;50.00;20.70
Russia;RUS;144000000.00;16377742.00;;41.20;18.70;0.82;5.58;57.00;;3799.70;26490.00;-3.70;7.01;1414.00;-;-;15.00;5.70;62.50;35.30;;7.00;6.00;-0.67;-0.08;-0.48;-0.79;-0.89;46.90;38.10;48.70;85.80;58.20;30.00;15.80
Rwanda;RWA;12000000.00;24668.00;;50.40;19.60;0.52;-;38.00;;22.80;1977.00;6.90;3.77;143.00;-;-;11.00;2.50;77.70;27.20;;6.00;6.00;0.04;0.26;0.15;0.13;0.63;79.60;61.20;69.80;75.80;69.10;40.00;61.30
Saint Kitts and Nevis;KNA;55000.00;261.00;;-;-;0.78;-;-;;-;-;-;5.62;1443.00;-;-;-;-;-;-;;1.00;1.00;0.64;0.56;0.55;0.53;0.51;-;-;-;-;-;-;13.30
Saint Lucia;LCA;200000.00;606.00;;-;-;0.75;-;-;;2.10;11783.00;1.60;5.96;681.00;4.34;381.44;-;19.80;72.40;30.30;;1.00;1.00;1.15;0.27;0.31;0.60;0.59;69.20;50.90;67.90;75.50;67.60;40.00;16.70
Saint Vincent and the Grenadines;VCT;100000.00;389.00;;-;-;0.72;-;-;;1.20;11271.00;1.60;4.21;470.00;-;-;-;19.30;72.70;30.10;;1.00;1.00;0.90;0.27;0.25;0.43;0.72;69.20;51.50;36.70;72.70;67.70;40.00;13.00
Samoa;WSM;200000.00;2821.00;;-;-;0.71;-;-;;1.10;5553.00;1.70;7.82;336.00;-;-;-;7.20;55.10;38.70;;2.00;2.00;1.20;0.62;-0.08;0.87;0.66;38.80;40.10;53.10;79.90;61.50;30.00;10.00
San Marino;SMR;33000.00;61.00;;-;-;-;-;-;;-;-;-;5.26;3675.00;-;-;15.00;-;-;-;;1.00;1.00;0.94;-;-;-;-;-;-;-;-;-;-;26.70
Sao Tome and Principe;STP;200000.00;964.00;;30.80;-;0.59;-;-;;0.60;3072.00;4.00;4.41;308.00;3.75;68.40;13.00;13.60;69.50;31.90;;2.00;2.00;0.22;-0.77;-0.83;-0.68;0.14;28.20;39.40;38.00;82.00;53.60;30.00;18.20
Saudi Arabia;SAU;33000000.00;2149690.00;;45.90;-;0.85;6.29;62.60;;1750.90;55158.00;3.40;6.35;3121.00;-;-;16.00;5.50;52.00;40.00;;7.00;7.00;-0.62;0.25;0.00;0.10;0.36;60.20;49.90;53.10;99.70;59.60;50.00;19.90
Senegal;SEN;16000000.00;192530.00;;40.30;21.90;0.51;4.68;38.40;;39.70;2577.00;6.50;8.97;97.00;7.40;77.87;9.00;9.50;72.70;30.20;;2.00;2.00;-0.04;-0.32;-0.15;-0.15;-0.09;40.40;42.60;41.30;68.50;55.70;40.00;41.80
Serbia;SRB;7000000.00;77474.00;;38.70;29.00;0.79;5.12;54.90;;101.80;14493.00;0.70;9.41;1324.00;4.18;259.18;15.00;16.50;40.60;44.50;;3.00;2.00;0.10;0.19;0.01;-0.19;-0.37;48.20;36.50;46.20;83.50;62.50;50.00;34.40
Seychelles;SYC;100000.00;455.00;;-;-;0.80;-;59.10;;2.60;27602.00;4.40;3.39;867.00;-;-;14.00;-;63.00;35.10;;3.00;3.00;0.68;0.42;-0.18;0.10;0.68;38.80;38.80;60.70;73.40;61.60;30.00;21.20
Sierra Leone;SLE;8000000.00;71620.00;;34.00;15.30;0.42;4.09;32.90;;10.80;1672.00;-21.50;18.32;256.00;2.66;18.87;-;3.00;89.80;18.40;;3.00;3.00;0.03;-1.21;-0.92;-0.79;-0.59;29.60;22.00;33.60;79.90;51.80;20.00;12.40
Singapore;SGP;6000000.00;709.20;;45.90;-;0.93;6.38;81.80;;492.60;87855.00;2.00;4.25;3681.00;-;-;13.00;1.80;90.60;17.70;;4.00;4.00;1.59;2.21;2.12;1.82;2.13;90.90;91.20;98.40;90.40;88.80;80.00;23.00
Slovakia;SVK;5000000.00;48105.00;;23.70;28.20;0.86;6.37;67.40;;170.10;31339.00;3.60;6.89;2062.00;4.23;788.16;15.00;10.00;44.30;43.10;;1.00;1.00;0.88;0.81;0.82;0.57;0.22;38.80;38.20;68.20;78.90;65.30;70.00;20.00
Slovenia;SVN;2100000.00;20151.00;;24.40;24.60;0.90;6.17;72.60;;66.20;32085.00;2.90;8.54;2734.00;5.29;1281.38;17.00;8.70;31.20;47.90;;1.00;1.00;0.89;1.17;0.58;1.02;0.81;57.70;52.10;76.60;58.70;64.80;50.00;36.70
Solomon Islands;SLB;600000.00;27986.00;;-;-;0.55;-;-;;1.20;1973.00;3.30;8.03;173.00;-;-;-;31.40;35.60;46.30;;3.00;2.00;0.21;-1.01;-0.80;-0.21;0.11;57.30;36.80;49.40;65.50;57.50;30.00;2.00
Somalia;SOM;15000000.00;627337.00;;-;-;-;-;-;;5.90;-;3.70;-;-;-;-;-;6.60;-;-;;7.00;7.00;-2.33;-2.21;-2.29;-2.31;-1.72;25.40;17.80;33.10;-;-;-;24.40
South Africa;ZAF;57000000.00;1214470.00;;62.50;15.90;0.70;4.51;38.50;;739.40;13225.00;1.30;8.20;1086.00;6.05;389.06;13.00;25.90;68.10;32.60;;2.00;2.00;-0.27;0.28;0.23;-0.01;-0.01;65.90;45.40;67.70;62.50;63.00;50.00;42.00
South Sudan;SSD;13000000.00;644329.00;;46.00;-;0.39;2.82;-;;1686.90;36416.00;3.20;2.53;71.00;1.71;22.43;-;19.40;42.80;43.70;;7.00;7.00;-2.46;-2.48;-1.94;-1.94;-1.71;62.00;51.50;73.10;62.00;65.10;70.00;28.50
Spain;ESP;47000000.00;498980.00;;35.90;36.00;0.89;6.23;71.80;;260.60;12262.00;5.20;9.17;3183.00;4.28;1267.84;18.00;5.00;89.30;18.90;;1.00;1.00;0.27;1.03;0.94;1.01;0.49;52.00;30.70;46.50;84.90;57.80;40.00;39.10
Sri Lanka;LKA;21000000.00;64630.00;;39.20;33.80;0.77;4.33;49.30;;176.10;4447.00;3.50;2.97;353.00;1.93;73.85;14.00;13.30;95.30;12.50;;3.00;4.00;-0.06;-0.15;-0.13;0.06;-0.45;21.40;21.20;27.80;85.90;49.40;20.00;5.80
Sudan;SDN;41000000.00;1861484.00;;-;-;0.50;-;26.50;;7.90;13988.00;0.10;6.31;277.00;-;-;7.00;10.00;76.40;28.10;;7.00;7.00;-2.01;-1.41;-0.56;-1.11;-1.54;21.40;39.90;39.70;71.40;48.10;30.00;30.50
Suriname;SUR;600000.00;156000.00;;-;25.40;0.72;-;52.70;;498.10;49836.00;4.10;6.55;1017.00;-;-;-;7.10;23.20;50.60;;2.00;2.00;0.14;-0.62;-0.54;-0.15;-0.17;88.20;92.90;92.60;43.90;76.30;80.00;25.50
Sweden;SWE;10000000.00;410335.00;;24.90;28.00;0.93;7.29;81.90;;496.00;59561.00;0.90;11.01;5299.00;7.68;4545.78;18.00;4.60;65.40;34.00;;1.00;1.00;0.98;1.84;1.80;1.94;2.14;82.10;82.80;84.20;70.50;81.70;90.00;43.60
Switzerland;CHE;8000000.00;39997.00;;29.50;34.30;0.94;7.47;83.80;;21.00;-;-4.80;12.06;7583.00;5.05;4374.65;16.00;14.30;-;-;;1.00;1.00;1.21;2.06;1.88;1.93;1.99;22.10;23.10;36.70;-;-;-;32.50
Syria;SYR;18000000.00;183630.00;;-;19.10;0.54;-;-;;1132.10;48095.00;0.70;-;-;-;-;9.00;4.00;90.40;17.80;;7.00;7.00;-2.63;-1.79;-1.83;-2.09;-1.56;69.20;70.90;84.30;76.10;76.60;60.00;13.20
Taiwan;TWN;24000000.00;32260.00;;33.60;-;-;6.36;-;;26.00;3008.00;3.00;6.85;-;-;-;-;10.80;71.40;30.90;;1.00;1.00;0.89;1.27;1.37;1.14;0.96;50.30;38.20;46.80;91.80;58.30;30.00;-
Tajikistan;TJK;9000000.00;141510.00;;32.60;34.20;0.65;5.83;41.30;;149.80;3080.00;7.00;6.12;193.00;-;-;11.00;2.60;89.80;18.50;;7.00;6.00;-0.67;-1.12;-1.06;-1.35;-1.33;34.70;31.80;38.00;79.80;59.90;50.00;19.00
Tanzania;TZA;57000000.00;885800.00;;37.60;22.10;0.54;3.35;36.00;;1164.90;16888.00;2.80;3.77;96.00;3.48;32.14;8.00;0.60;85.50;22.00;;4.00;4.00;-0.58;-0.63;-0.58;-0.45;-0.48;45.30;34.70;48.60;81.30;67.10;60.00;36.40
Thailand;THA;69000000.00;510890.00;;44.50;37.30;0.76;5.94;52.40;;-;-;-;3.09;610.00;-;-;16.00;-;-;-;;6.00;5.00;-0.76;0.38;0.14;0.04;-0.39;-;-;-;-;-;-;4.80
Timor-Leste;TLS;1200000.00;14874.00;;31.90;-;0.63;-;-;;5.00;4187.00;4.30;3.09;141.00;-;-;13.00;4.00;30.90;48.00;;2.00;3.00;0.03;-1.00;-0.74;-1.17;-0.54;13.80;32.00;29.90;97.40;48.10;20.00;32.30
Togo;TGO;8000000.00;54385.00;;46.00;13.20;0.50;4.36;34.90;;11.60;1550.00;5.30;6.65;96.00;4.88;30.24;12.00;6.80;73.30;29.80;;4.00;4.00;-0.74;-1.13;-0.79;-0.71;-0.71;28.20;31.40;32.70;64.30;47.80;30.00;17.60
Tonga;TON;100000.00;717.00;;-;-;0.73;-;-;;0.60;5387.00;2.60;5.86;324.00;-;-;-;4.90;68.70;32.30;;2.00;2.00;0.79;-0.22;-0.40;0.31;-0.16;25.40;40.50;62.10;85.40;63.10;20.00;3.80
